air_temp,azimuth,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,cloud_opacity,dhi,dni,ghi,gti,relative_humidity,surface_pressure,wind_direction_10m,wind_speed_10m,zenith,period_end,Year,Month,Day,Hour,Latitude,Longitude,cluster
21,-98,111,944,1040,957,8.5,251,711,951,881,70.5,927.2,105,5.8,9,2007-01-02T10:00:00Z,2007,1,2,10,-22.220377,28.100695,4
22,117,116,940,1052,970,4.1,186,827,1009,933,63.6,926.6,106,5.4,5,2007-01-02T11:00:00Z,2007,1,2,11,-22.220377,28.100695,4
23,96,114,929,995,910,9.0,253,690,903,832,62.2,925.9,105,5.1,18,2007-01-02T12:00:00Z,2007,1,2,12,-22.220377,28.100695,4
23,98,105,910,875,782,5.2,172,773,831,749,60.3,925.4,103,4.9,32,2007-01-02T13:00:00Z,2007,1,2,13,-22.220377,28.100695,4
21,-99,102,922,836,739,0.0,102,922,836,739,65.1,926.2,91,4.6,37,2007-01-03T08:00:00Z,2007,1,3,8,-22.220377,28.100695,4
22,-97,101,968,987,897,0.0,101,968,987,897,57.5,925.7,99,4.0,23,2007-01-03T09:00:00Z,2007,1,3,9,-22.220377,28.100695,4
25,-97,103,987,1074,989,0.0,103,987,1074,989,48.9,925.0,106,3.5,10,2007-01-03T10:00:00Z,2007,1,3,10,-22.220377,28.100695,4
26,116,103,991,1089,1005,0.0,103,991,1089,1005,43.3,924.3,112,3.3,5,2007-01-03T11:00:00Z,2007,1,3,11,-22.220377,28.100695,4
27,96,101,982,1032,944,0.0,101,982,1032,944,42.2,923.5,118,3.2,18,2007-01-03T12:00:00Z,2007,1,3,12,-22.220377,28.100695,4
27,98,91,965,909,813,0.0,91,965,909,813,40.8,922.7,120,3.2,32,2007-01-03T13:00:00Z,2007,1,3,13,-22.220377,28.100695,4
27,101,84,922,728,623,0.0,84,922,728,623,38.6,922.0,114,3.3,46,2007-01-03T14:00:00Z,2007,1,3,14,-22.220377,28.100695,4
23,-99,90,954,848,749,0.0,90,954,848,749,62.8,923.8,79,2.9,37,2007-01-04T08:00:00Z,2007,1,4,8,-22.220377,28.100695,4
25,-97,95,984,995,904,0.0,95,984,995,904,57.4,923.5,78,3.0,23,2007-01-04T09:00:00Z,2007,1,4,9,-22.220377,28.100695,4
28,-97,103,993,1079,994,0.0,103,993,1079,994,50.5,923.1,83,2.8,10,2007-01-04T10:00:00Z,2007,1,4,10,-22.220377,28.100695,4
29,115,104,995,1093,1009,0.0,104,995,1093,1009,46.0,922.5,86,2.9,5,2007-01-04T11:00:00Z,2007,1,4,11,-22.220377,28.100695,4
29,96,102,984,1035,948,0.0,102,984,1035,948,44.5,921.8,84,3.1,18,2007-01-04T12:00:00Z,2007,1,4,12,-22.220377,28.100695,4
30,98,97,958,910,815,0.0,97,958,910,815,42.7,921.1,81,3.3,32,2007-01-04T13:00:00Z,2007,1,4,13,-22.220377,28.100695,4
30,101,90,912,729,625,0.0,90,912,729,625,40.9,920.6,79,3.4,46,2007-01-04T14:00:00Z,2007,1,4,14,-22.220377,28.100695,4
24,-99,82,949,835,738,11.7,218,648,742,668,74.4,923.7,89,5.0,37,2007-01-05T08:00:00Z,2007,1,5,8,-22.220377,28.100695,4
26,-96,88,979,982,893,0.0,88,979,982,893,65.7,923.3,92,4.6,24,2007-01-05T09:00:00Z,2007,1,5,9,-22.220377,28.100695,4
28,-96,101,982,1066,982,0.0,101,982,1066,982,54.8,922.9,96,4.2,10,2007-01-05T10:00:00Z,2007,1,5,10,-22.220377,28.100695,4
